model1,country1,model2,country2,symbol,industry,country,covariance,r_coeff,std1,std2,time
GPT,US,Doubao,China,0941.HK,comm,China,0.09950000000000007,0.884086516433243,0.36276714294433926,0.24819347291981747,daily
GPT,US,Doubao,China,DTE.DE,comm,EU,0.03750000000000024,0.9933992677987828,0.14142135623731025,0.21354156504062646,daily
GPT,US,Doubao,China,MBGYY,auto,EU,0.15025000000000027,0.9867107469226744,0.3679673898594825,0.3310589071449371,daily
GPT,US,Doubao,China,IFNNY,tech,EU,0.13224999999999987,0.9797371512663955,0.3261901286060022,0.33105890714493647,daily
GPT,US,Doubao,China,SPX,index,US,2575.0,0.9992373706069307,44.94441010848846,45.86937976471886,daily
GPT,US,Doubao,China,FXI,index,China,0.3590000000000003,0.9974107937860168,0.5418486873657621,0.5314132102234579,daily
GPT,US,Qwen,China,AMZN,tech,US,7.641599999999996,0.9958664008771921,2.539763768542263,2.417017997450577,daily
GPT,US,Qwen,China,GM,auto,US,0.3362499999999996,0.9895950605259196,0.4857983120596448,0.5595498190509934,daily
GPT,US,Qwen,China,T,comm,US,0.043899999999999884,0.9428201848801814,0.18547236990991395,0.2008382433701307,daily
GPT,US,Qwen,China,BABA,tech,China,19.99625000000001,0.9996072093191475,3.9329378332234053,4.069041164697158,daily
GPT,US,Qwen,China,1211.HK,auto,China,334.39500000000015,0.9998809711246857,15.995624401691858,16.726314597065315,daily
GPT,US,Qwen,China,0941.HK,comm,China,0.16024999999999986,0.9979558131432246,0.36276714294433926,0.35411862419251683,daily
GPT,US,Qwen,China,DTE.DE,comm,EU,0.023875000000000125,0.9907150741548014,0.14142135623731025,0.13632314550361585,daily
GPT,US,Qwen,China,MBGYY,auto,EU,0.16492500000000024,0.9996284849877639,0.3679673898594825,0.35869764426324297,daily
GPT,US,Qwen,China,IFNNY,tech,EU,0.1334750000000004,0.9984422503851222,0.3261901286060022,0.32786582621554256,daily
GPT,US,Qwen,China,SPX,index,US,2445.7750000000015,0.9989447305878492,44.94441010848846,43.58021248227231,daily
GPT,US,Qwen,China,FXI,index,China,0.3642499999999999,0.998854879421916,0.5418486873657621,0.5384050519822419,daily
Mistral,EU,Claude,US,AMZN,tech,US,4.249478096383777,0.8199882811121968,2.388884027265553,1.7354930135267022,daily
Mistral,EU,Claude,US,GM,auto,US,0.28137616741496585,0.7885963817403894,0.5019904858421886,0.5686264151444251,daily
Mistral,EU,Claude,US,T,comm,US,0.02293783459816759,0.6942293662505459,0.19257458646799772,0.13725887949418794,daily
Mistral,EU,Claude,US,BABA,tech,China,13.093645934764208,0.9675774923121496,3.3429349421109475,3.238447776327421,daily
Mistral,EU,Claude,US,1211.HK,auto,China,206.2048945990123,0.8611842164178662,17.335618118715626,11.049778278318524,daily
Mistral,EU,Claude,US,0941.HK,comm,China,0.12493599131527025,0.7374191755675974,0.5251384906961021,0.25810075552000983,daily
Mistral,EU,Claude,US,DTE.DE,comm,EU,0.03117047045277172,0.862017332117843,0.21302809694723943,0.13579396157414436,daily
Mistral,EU,Claude,US,MBGYY,auto,EU,0.09628856942882162,0.8902461147402867,0.3709021966495504,0.2332895196960212,daily
Mistral,EU,Claude,US,IFNNY,tech,EU,0.1020633779469418,0.7916274245994416,0.4017265123091903,0.2567489045740998,daily
Mistral,EU,Claude,US,SPX,index,US,1372.2286961437742,0.6787025167933742,51.103020015127754,31.65122026083676,daily
Mistral,EU,Claude,US,FXI,index,China,0.2815819256888921,0.8988517437028247,0.5580749227645431,0.4490701504219589,daily
Mistral,EU,Gemini,US,AMZN,tech,US,7.190887242277239,0.9962044005588631,2.388884027265553,2.41729104577831,daily
Mistral,EU,Gemini,US,GM,auto,US,0.34137662093582255,0.9688041491147148,0.5019904858421886,0.5615549839508145,daily
Mistral,EU,Gemini,US,T,comm,US,0.03950310314107095,0.8171011309040979,0.19257458646799772,0.20083824337013148,daily
Mistral,EU,Gemini,US,BABA,tech,China,16.747656989662286,0.9921232397268166,3.3429349421109475,4.039712861083074,daily
Mistral,EU,Gemini,US,1211.HK,auto,China,360.5897888537594,0.9948642359043106,17.335618118715626,16.726314597065315,daily
Mistral,EU,Gemini,US,0941.HK,comm,China,0.2083097794395144,0.8961424004665296,0.5251384906961021,0.35411862419251505,daily
Mistral,EU,Gemini,US,DTE.DE,comm,EU,0.033931048027533245,0.9347183632284599,0.21302809694723943,0.13632314550361596,daily
Mistral,EU,Gemini,US,MBGYY,auto,EU,0.16419032856510601,0.987301118544004,0.3709021966495504,0.35869764426324297,daily
Mistral,EU,Gemini,US,IFNNY,tech,EU,0.16363448765533511,0.9938896810170279,0.4017265123091903,0.32786582621554183,daily
Mistral,EU,Gemini,US,SPX,index,US,2473.6837275467756,0.8885835101303516,51.103020015127754,43.58021248227231,daily
Mistral,EU,Gemini,US,FXI,index,China,0.3675933712516712,0.9787145033323806,0.5580749227645431,0.5384050519822414,daily
Mistral,EU,GPT,US,AMZN,tech,US,7.519487699503743,0.991493451552488,2.388884027265553,2.539763768542263,daily
Mistral,EU,GPT,US,GM,auto,US,0.2886481968310508,0.9469070461299891,0.5019904858421886,0.4857983120596448,daily
Mistral,EU,GPT,US,T,comm,US,0.02702075078372463,0.6052143316495642,0.19257458646799772,0.18547236990991395,daily
Mistral,EU,GPT,US,BABA,tech,China,16.307018284241344,0.9922464155462551,3.3429349421109475,3.9329378332234053,daily
Mistral,EU,GPT,US,1211.HK,auto,China,344.26467290546066,0.9932119063951825,17.335618118715626,15.995624401691858,daily
Mistral,EU,GPT,US,0941.HK,comm,China,0.21019966845588775,0.8827144121747981,0.5251384906961021,0.36276714294433926,daily
Mistral,EU,GPT,US,DTE.DE,comm,EU,0.033338673322183064,0.885291745819506,0.21302809694723943,0.14142135623731025,daily
Mistral,EU,GPT,US,MBGYY,auto,EU,0.16784449415609165,0.9838487743887093,0.3709021966495504,0.3679673898594825,daily
Mistral,EU,GPT,US,IFNNY,tech,EU,0.16345701271806962,0.9979119798297658,0.4017265123091903,0.3261901286060022,daily
Mistral,EU,GPT,US,SPX,index,US,2563.458036821263,0.8928817546559419,51.103020015127754,44.94441010848846,daily
Mistral,EU,GPT,US,FXI,index,China,0.37054773262102236,0.9803104082816989,0.5580749227645431,0.5418486873657621,daily
Mistral,EU,Cohere,Canada,AMZN,tech,US,6.7047370870585645,0.9846343920313356,2.388884027265553,2.280350850198276,daily
Mistral,EU,Cohere,Canada,GM,auto,US,0.20196184840227976,0.7890184828417353,0.5019904858421886,0.4079215610874229,daily
Mistral,EU,Cohere,Canada,T,comm,US,0.04963455169442329,0.965589857599204,0.19257458646799772,0.21354156504062666,daily
Mistral,EU,Cohere,Canada,BABA,tech,China,12.660514271489284,0.9658637352733407,3.3429349421109475,3.1368774282716245,daily
